// balls reserved_balls_number
balls 5

// platform_scale x y
platform_scale 1.5 0.3

// short_platform_scale x y
short_platform_scale 0.75 0.2

// long_platform_scale x y
long_platform_scale 3.0 0.5

// gravity x y
gravity 0.0 -10.0

// gravity_left x y
gravity_left -5.0 -10.0

// gravity_right x y
gravity_right 5.0 -10.0

// bonus_time platform_bonus_time gravity_bonus_time time_bonus_time
bonus_time 20 20 10

// brick brick1_type life scale_x scale_y pos_x pos_y angle_in_pi points is_static bonus
brick brick1 1 0.9 0.3 0.5 8 0 100 0 3
brick brick1 1 0.9 0.3 1.5 8 0 100 0 3
brick brick1 1 0.9 0.3 2.5 8 0 100 0 3
brick brick1 1 0.9 0.3 3.5 8 0 100 0 3
brick brick1 1 0.9 0.3 4.5 8 0 100 0 3
brick brick1 1 0.9 0.3 5.5 8 0 100 0 3
brick brick1 1 0.9 0.3 6.5 8 0 100 0 3
brick brick1 1 0.9 0.3 7.5 8 0 100 0 3
brick brick1 1 0.9 0.3 8.5 8 0 100 0 3
brick brick1 1 0.9 0.3 9.5 8 0 100 0 3

brick brick4 1 0.9 0.3 0.5 7 0 100 0 3
brick brick4 1 0.9 0.3 1.5 7 0 100 0 3
brick brick4 1 0.9 0.3 2.5 7 0 100 0 3
brick brick4 1 0.9 0.3 3.5 7 0 100 0 3
brick brick4 1 0.9 0.3 4.5 7 0 100 0 3
brick brick4 1 0.9 0.3 5.5 7 0 100 0 3
brick brick4 1 0.9 0.3 6.5 7 0 100 0 3
brick brick4 1 0.9 0.3 7.5 7 0 100 0 3
brick brick4 1 0.9 0.3 8.5 7 0 100 0 3
brick brick4 1 0.9 0.3 9.5 7 0 100 0 3

brick brick3 1 0.9 0.3 0.5 6 0 100 0 3
brick brick3 1 0.9 0.3 1.5 6 0 100 0 3
brick brick3 1 0.9 0.3 2.5 6 0 100 0 3
brick brick3 1 0.9 0.3 3.5 6 0 100 0 3
brick brick3 1 0.9 0.3 4.5 6 0 100 0 3
brick brick3 1 0.9 0.3 5.5 6 0 100 0 3
brick brick3 1 0.9 0.3 6.5 6 0 100 0 3
brick brick3 1 0.9 0.3 7.5 6 0 100 0 3
brick brick3 1 0.9 0.3 8.5 6 0 100 0 3
brick brick3 1 0.9 0.3 9.5 6 0 100 0 3

brick brick2 5 0.9 0.3 0.5 5 0 100 0 3
brick brick2 5 0.9 0.3 1.5 5 0 100 0 3
brick brick2 5 0.9 0.3 2.5 5 0 100 0 3
brick brick2 5 0.9 0.3 3.5 5 0 100 0 3
brick brick2 5 0.9 0.3 4.5 5 0 100 0 3
brick brick2 5 0.9 0.3 5.5 5 0 100 0 3
brick brick2 5 0.9 0.3 6.5 5 0 100 0 3
brick brick2 5 0.9 0.3 7.5 5 0 100 0 3
brick brick2 5 0.9 0.3 8.5 5 0 100 0 3
brick brick2 5 0.9 0.3 9.5 5 0 100 0 3
